wavelength,contribution
545.0,0.02370034672281644
547.0,0.023695029654483286
548.0,0.023694645423204926
544.0,0.02369439929314089
546.0,0.023694377173513345
549.0,0.023691251325294836
550.0,0.023690303154227207
551.0,0.023685144352061833
543.0,0.023684867594177966
552.0,0.02367558629568058
553.0,0.023670999900638
542.0,0.023668634386548953
554.0,0.023665727915836814
555.0,0.0236623293032652
541.0,0.02365264898629809
538.0,0.023651476369425065
556.0,0.023650100346607243
537.0,0.023644794363706027
540.0,0.023643804864699212
558.0,0.023641000387363956
534.0,0.023640845119564366
539.0,0.023640360921398994
536.0,0.02364001426520234
557.0,0.023639781071708367
535.0,0.023634515965601986
533.0,0.023632709380017537
559.0,0.023632530403044343
560.0,0.023623827548626186
532.0,0.023620023294272773
561.0,0.02361016431159563
531.0,0.02360799130459316
530.0,0.02360513222153115
562.0,0.023604647371517556
528.0,0.023601439077748417
529.0,0.023600729484706703
563.0,0.023598170116100794
527.0,0.023594608771789097
564.0,0.023591365687932
526.0,0.023585278202366892
565.0,0.02358490208321201
524.0,0.023583824395317473
525.0,0.023583079436002526
523.0,0.023576861219181917
566.0,0.02357285018388204
522.0,0.02356914031780367
521.0,0.023567943832093617
567.0,0.023565928700072628
518.0,0.023560674060280982
568.0,0.023560136760261776
520.0,0.023558397465043308
519.0,0.023557672550396314
517.0,0.023550000212449924
569.0,0.023546835622268947
1878.0,0.023545904882246532
1877.0,0.02353982817588175
1879.0,0.023536427069313044
1876.0,0.023529797518883958
570.0,0.023528433345647384
516.0,0.02352582477895592
515.0,0.02352178580342685
571.0,0.023519440781657134
1390.0,0.023508220306359087
1389.0,0.023506868799605285
572.0,0.023506478259568392
1391.0,0.023505719452372575
1875.0,0.02350399220558389
514.0,0.023503682510652685
1562.0,0.023503605292705364
1564.0,0.02350359110203521
1565.0,0.02350341711013056
1563.0,0.02350195205401881
1561.0,0.023500617147696284
1566.0,0.023499447858811244
1560.0,0.023498672101258132
1559.0,0.023497389508314814
573.0,0.023495628267205373
1392.0,0.02349552984242552
1388.0,0.023495314076004633
1880.0,0.023493520371486214
1568.0,0.02349340320761102
1575.0,0.02348975297081397
1557.0,0.02348805853041107
1558.0,0.023487888807067744
1567.0,0.023487766859633864
574.0,0.023487149873667037
1569.0,0.023487087570427893
1576.0,0.0234870133192078
1574.0,0.023486756969399853
1577.0,0.023483682218176923
1874.0,0.02348344410760356
1570.0,0.023483100044271794
1556.0,0.02348181142419655
1573.0,0.02348158620932086
1387.0,0.023480926241501898
513.0,0.02348004086443675
1393.0,0.023479661393697268
1554.0,0.023479381387236403
1578.0,0.02347743336227019
1555.0,0.023476448710722356
1579.0,0.02347605130228404
1572.0,0.02347572171430047
1571.0,0.023475238312361806
1580.0,0.023471599117576177
1553.0,0.023471553556667767
575.0,0.023469307848167337
1581.0,0.02346776466011358
1848.0,0.023463238559037487
1552.0,0.02346281945516044
512.0,0.02346239566244795
1846.0,0.023460719505556393
1582.0,0.02346017248719981
1847.0,0.02346007402037483
1394.0,0.023458464618622447
1583.0,0.023456727172473775
1386.0,0.02345573450211546
1849.0,0.023455128660957527
1584.0,0.023454982736197966
1845.0,0.02345482207481678
1873.0,0.023454628817841352
576.0,0.02345361251331629
1866.0,0.02345219591012107
1867.0,0.02345167085637908
1551.0,0.023451490448240526
1585.0,0.023449981497123008
1868.0,0.023449524878402288
1844.0,0.02344921398087892
511.0,0.023443409825668258
1550.0,0.023442203702269845
577.0,0.023441833225276494
1586.0,0.02344159886002739
1869.0,0.023438735757471973
1843.0,0.023438650270675997
1865.0,0.023438447667499508
1850.0,0.02343812309709565
1881.0,0.023436695642524444
1395.0,0.023436389427182343
1549.0,0.02343515336225887
1587.0,0.02343337004783313
1842.0,0.023432791436078588
1870.0,0.023431974106471777
1548.0,0.023429439850154932
578.0,0.023429287636451857
1864.0,0.023427233712693323
1588.0,0.023425867829712104
1851.0,0.02342502709660713
1547.0,0.023423205541136922
1872.0,0.02342061334616185
1871.0,0.023419301195230724
1385.0,0.02341901223764413
1841.0,0.02341575052613481
510.0,0.02341515700016239
1546.0,0.0234143643890689
1396.0,0.023414235621161072
507.0,0.02341323668625851
579.0,0.023412693987314406
1863.0,0.023411934961347393
1589.0,0.023411039399065095
508.0,0.023410648159564024
1787.0,0.023410277034542917
1785.0,0.023409816596642066
1786.0,0.023408826381473534
509.0,0.023408626948100173
1840.0,0.023405771881551213
1545.0,0.023405769476444068
1590.0,0.023405664195407808
1862.0,0.02340438195248583
1852.0,0.023404280261155867
580.0,0.023403982536564276
1783.0,0.023402992744163284
1784.0,0.023402930874239
1592.0,0.0234026481208575
1544.0,0.02340172383504608
1593.0,0.023401428415816047
1591.0,0.02340047547226623
1543.0,0.02340023805769497
1781.0,0.023400209455820827
581.0,0.02339976809530801
1782.0,0.023398268975403983
506.0,0.023397288188710688
1780.0,0.023395953054809418
1839.0,0.02339592845955479
1788.0,0.023395177387838417
1779.0,0.0233948011904676
1542.0,0.02339466856595873
1594.0,0.023394527379463854
1397.0,0.023390298428593675
1384.0,0.02338913432423717
1777.0,0.023387276752628458
1541.0,0.02338662467111985
1776.0,0.02338614043026567
1861.0,0.023386120250228716
1595.0,0.02338581863761606
1798.0,0.023385550254881555
1778.0,0.02338554006465623
1882.0,0.023385467093308788
582.0,0.02338436824705811
1799.0,0.023384241553886697
1797.0,0.02338328177756458
1838.0,0.023383090286374773
1540.0,0.02338295913592068
1789.0,0.02338108647211515
1539.0,0.023380258178812334
1800.0,0.02337974814839682
505.0,0.023379356006046823
1812.0,0.023379174901488723
1596.0,0.02337745942677686
1775.0,0.02337742361751169
1810.0,0.02337608897540452
1801.0,0.023376027881550826
1853.0,0.023375091221199188
1809.0,0.023374216542687478
1811.0,0.023373081939493775
1836.0,0.02337269656011231
1813.0,0.02337226971995921
1796.0,0.023371858851145157
1538.0,0.02337156238620741
1837.0,0.023371389057991472
1790.0,0.02337101007760624
1774.0,0.023369426477507314
1835.0,0.023369279560821608
1808.0,0.02336803057916768
583.0,0.023367648520740275
1802.0,0.023367222509610278
1597.0,0.02336646171745733
504.0,0.02336586824660181
1834.0,0.023365545456800335
1795.0,0.023365282672886838
1398.0,0.023364808713334604
503.0,0.023364625946608
1791.0,0.023364165290620693
1773.0,0.023363502570887554
1770.0,0.023363164245897305
1793.0,0.023362568432644334
1860.0,0.02336234986315501
1771.0,0.02336171920191391
1772.0,0.023361643911953306
1807.0,0.023361591509122998
1537.0,0.023360833507020305
1833.0,0.023360110990802627
1598.0,0.02336008660893362
584.0,0.023359985335639058
1765.0,0.02335996556960444
1792.0,0.023358999892573416
1803.0,0.023358900392621906
1769.0,0.023358552160806435
1768.0,0.02335834444622114
1767.0,0.023357400852665945
1826.0,0.02335712301332282
1766.0,0.023356333255807018
1794.0,0.023356228753397098
1763.0,0.023355519139023038
1832.0,0.02335532180967953
1825.0,0.023355090138266615
1764.0,0.02335469648513201
1814.0,0.02335460864419299
1599.0,0.02335385380697515
1824.0,0.023350758296665212
1823.0,0.023350582414441615
1762.0,0.02335003139008512
1536.0,0.023349524060454156
1854.0,0.023348179417610092
1383.0,0.02334791374675623
1806.0,0.023346928392902516
1827.0,0.023346522360444044
1830.0,0.023346145787491113
1804.0,0.023345711247969258
502.0,0.023345584271422016
1761.0,0.023344311359046528
1831.0,0.023344125626350708
1535.0,0.02334404188266029
1822.0,0.023343061805333392
1829.0,0.0233423010914437
1815.0,0.02334146323721343
1859.0,0.023341229375495945
1600.0,0.023340854018176656
1828.0,0.023340660186777502
1534.0,0.023339554536848058
1883.0,0.023339416716324432
1805.0,0.023338985867150067
585.0,0.02333821995573697
501.0,0.02333810578413581
1821.0,0.023336448768224414
1816.0,0.023335794267869223
1399.0,0.023334593626033153
500.0,0.02333422799170127
1601.0,0.02333237065266776
1856.0,0.02333108808577233
1760.0,0.023329014691060204
1817.0,0.023327606343417153
499.0,0.02332677223505295
1818.0,0.023326025893001607
1820.0,0.02332562079976749
1855.0,0.023325563134179394
498.0,0.02332434523929682
497.0,0.02332434001659629
586.0,0.023322440134374733
1602.0,0.023322122191584124
1533.0,0.023321236523478697
1858.0,0.0233210916288261
1758.0,0.023320940478078398
1757.0,0.023320899021113006
475.0,0.023320851523863147
1759.0,0.023320148507370745
1532.0,0.023317036993626767
1819.0,0.023316873705619332
1756.0,0.02331642950783327
1857.0,0.02331344619312734
1755.0,0.02331207593529508
1884.0,0.02331188546772926
1603.0,0.02331080386472819
493.0,0.02331065858312565
496.0,0.023308694611377672
494.0,0.023307627060716252
1754.0,0.023305585392492566
1382.0,0.02330478912647757
495.0,0.02330432354508923
1531.0,0.023303349656826833
1753.0,0.023303105045642668
1400.0,0.02330255970656523
492.0,0.023301557542702203
1604.0,0.02330149555559819
587.0,0.02329988935072477
491.0,0.02329736832045666
1752.0,0.02329511978351651
1605.0,0.023294006323664608
488.0,0.023293779434951405
1530.0,0.02329356324630465
474.0,0.023290951350988593
1889.0,0.023290181292304753
476.0,0.023288989901385594
486.0,0.0232871906337266
489.0,0.023287067323681892
1888.0,0.02328661840656249
1751.0,0.02328571362061994
485.0,0.023284317212145068
487.0,0.023283838781584253
1529.0,0.023283759108230277
490.0,0.023282492713305108
1606.0,0.023282306413618652
1887.0,0.02328020578359567
1885.0,0.023278759504909968
588.0,0.023278517763378966
1607.0,0.023278504206253544
1527.0,0.02327530845511566
1528.0,0.023274353803088177
1524.0,0.023272871263925656
1750.0,0.023271310590844932
1401.0,0.023270621264832564
1525.0,0.023270310631831277
484.0,0.023267920855633593
1522.0,0.023267238007166787
2462.0,0.023267155389905054
1749.0,0.023266446809211236
483.0,0.023265718948592792
1523.0,0.023265291352215292
1526.0,0.023264420055551863
1608.0,0.023263801194381966
1609.0,0.02326352902395583
1610.0,0.023263413386200558
1611.0,0.023262739542249704
482.0,0.023262162290786426
1381.0,0.023260733843245635
1521.0,0.023259896245176017
1612.0,0.023259743043338964
1748.0,0.023259575504098948
477.0,0.023254958391162848
1890.0,0.023254346167382207
1886.0,0.023253570028711534
1613.0,0.023252481031464073
1747.0,0.0232492520659762
1614.0,0.02324887772139862
1520.0,0.023248648841718317
1746.0,0.023246941038730647
1615.0,0.023244992454141564
1402.0,0.02324490352460758
1744.0,0.02324433193575451
1745.0,0.023243685944968947
1519.0,0.02323994496593598
481.0,0.023239918229928914
1743.0,0.023238847866048067
1616.0,0.02323752682479567
589.0,0.023237410583641732
1518.0,0.02323374358296423
1742.0,0.023228962995300105
473.0,0.023226390694560534
1617.0,0.02322542949324045
1741.0,0.023223298229002924
1517.0,0.02322202082592975
480.0,0.02322189546201246
478.0,0.023218329651741147
1403.0,0.02321746999152795
1740.0,0.02321730414190858
479.0,0.02321677036791718
1618.0,0.023214038379140656
1619.0,0.02321240469456968
1891.0,0.02320972439098376
1516.0,0.023208288172357875
1739.0,0.02320673821445422
1727.0,0.02320673536268257
1380.0,0.02320578651077117
1726.0,0.023205247526523837
1728.0,0.023199925175182393
1620.0,0.023199779061952037
590.0,0.023198560700865876
1738.0,0.023197595053432087
1725.0,0.023197271581770276
1730.0,0.02319686426019196
1729.0,0.023196595741598706
1737.0,0.023194643836615906
1515.0,0.02319432952939296
1724.0,0.02319352270318699
1621.0,0.023191289360583404
1731.0,0.023191079988367037
1622.0,0.023188421243727966
1514.0,0.023187939204907457
1404.0,0.02318726086700934
1736.0,0.02318490672849225
1735.0,0.023184763222763496
2489.0,0.023184525685008953
1723.0,0.02318418648884288
1734.0,0.0231836704433765
1732.0,0.023182943269617593
1623.0,0.02318285420724349
642.0,0.02317882734973407
591.0,0.023175322732847652
1625.0,0.02317529738392581
1513.0,0.023174924910815287
643.0,0.02317453922842519
1733.0,0.023174491151968724
1722.0,0.023173726690390438
1624.0,0.023172583302740316
1626.0,0.023170103041255365
451.0,0.02316673724157631
1721.0,0.023165258355032768
1627.0,0.02316489166237148
1896.0,0.023164324825049983
592.0,0.023163731856596197
1897.0,0.023163364830833474
1898.0,0.023161752423505867
1405.0,0.023161641113547717
1892.0,0.023161331661411284
1720.0,0.023160743405389966
1512.0,0.02316020601582031
452.0,0.023155652175340345
1895.0,0.0231533408794878
1629.0,0.023152502915677615
453.0,0.02315138723757373
1628.0,0.023150808521161814
641.0,0.023150711041275144
1406.0,0.02314844406655191
1379.0,0.02314835018495417
1630.0,0.023146708080957038
457.0,0.02314649426428112
593.0,0.023146490389345582
644.0,0.0231464837582952
1632.0,0.02314610473651818
1899.0,0.023145931327701177
1894.0,0.023145841762437044
1631.0,0.023145119107022983
460.0,0.023145032788268766
462.0,0.023144762462225042
1719.0,0.023144025165319333
1511.0,0.023143990370372344
461.0,0.02314316196451303
1407.0,0.02314162216577861
463.0,0.02314145768940628
1718.0,0.023140233334939787
1510.0,0.023134862072465602
1633.0,0.02313418307533288
1893.0,0.023131953330526887
1716.0,0.023131675099493196
1717.0,0.02313135797734976
1408.0,0.023130988341975016
466.0,0.023130909068909144
595.0,0.023130702946217382
594.0,0.023130203786772868
456.0,0.023130011296774177
450.0,0.023129520067635495
1634.0,0.023128167608525017
454.0,0.02312802121323779
1499.0,0.023127756785611662
2461.0,0.02312731350767446
1501.0,0.023125250635252833
1509.0,0.02312507877749925
1635.0,0.023124131221973845
1498.0,0.02312396610862928
469.0,0.023123813038238284
2463.0,0.023123307307649065
1502.0,0.023122779284517853
1715.0,0.023122409187101015
465.0,0.02312200196355997
1500.0,0.02312151345028895
398.0,0.023121500626430962
1503.0,0.023120277456773336
397.0,0.023120186062792817
1508.0,0.02311895599521939
1504.0,0.023118850532412298
1497.0,0.023118680331556566
472.0,0.02311846318833569
455.0,0.023116840097340052
1636.0,0.02311529633985143
459.0,0.02311513090414194
1506.0,0.023114164635976573
1505.0,0.023113833711334457
470.0,0.023113717778937386
1507.0,0.02311254947186403
1409.0,0.02311230519250911
2459.0,0.02311197722326407
596.0,0.02311169508146774
468.0,0.023108916981195
1496.0,0.023108312347988564
1714.0,0.02310787812647168
471.0,0.023105368097033056
464.0,0.023104369773961252
597.0,0.02310407497714656
467.0,0.023101905535389787
1637.0,0.02310075395469266
1495.0,0.023098590113275728
458.0,0.023098063087892157
1713.0,0.02309748603768361
598.0,0.02309652986132831
1410.0,0.023096404003911202
1378.0,0.02309421107333387
1494.0,0.023092966731696855
599.0,0.023087118102209498
1493.0,0.023086719354752986
1712.0,0.02308485462184001
1411.0,0.02308470828253109
1638.0,0.023084199928597546
645.0,0.023079735342532826
1711.0,0.023079735169412908
2490.0,0.02307774586466381
640.0,0.023073420937455083
449.0,0.023073091682183054
1412.0,0.023071373897767186
430.0,0.023070688808389205
600.0,0.023070643045591897
1710.0,0.02306981614182739
1492.0,0.023069803241053573
1639.0,0.023064337835290903
429.0,0.023062398106777383
1709.0,0.0230602199365472
443.0,0.02305798336917987
387.0,0.023056800449970924
601.0,0.02305553461185854
1491.0,0.023055365941288368
1640.0,0.023049690967206608
1708.0,0.023046673266341466
1413.0,0.023045836602025565
602.0,0.023045677653803394
1490.0,0.023044099107558315
1707.0,0.023043035462844214
1706.0,0.02303770489575348
1900.0,0.023037231715497927
422.0,0.023037080886446272
448.0,0.023034676323648938
1489.0,0.023031663908078055
1641.0,0.02303053355024049
444.0,0.023029777540979117
603.0,0.02302549232489824
2458.0,0.023025010057269115
1377.0,0.02302456390923486
399.0,0.023023827952606876
431.0,0.023021945176886518
1705.0,0.023020504463773676
1414.0,0.023019706960304465
428.0,0.02301928025558831
1704.0,0.0230169760743946
604.0,0.023016152458201204
396.0,0.023014311108864195
447.0,0.023014128634931307
