Top_Wavelengths_PC1,Loading_PC1,Top_Wavelengths_PC2,Loading_PC2
Reflectance D3 GS3,0.408947291636615,Reflectance D3 GS1,0.590172945810083
Reflectance D3 GT1,0.4087672224041055,Reflectance D3 GB1,-0.5888206513617579
Reflectance D3 GT2,0.4084876473414133,Reflectance D3 GS2,0.4260855039716097
Reflectance D3 GS2,0.4080044904967343,Reflectance D3 GT1,-0.2725343581220137
Reflectance D3 GB1,0.40776576617630034,Reflectance D3 GT2,-0.21355450622757471
Reflectance D3 GS1,0.4075153103746433,Reflectance D3 GS3,0.05963869869424013
