Principal Component,Explained Variance Ratio
PC1,0.9957779318768143
PC2,0.0022960820307164525
PC3,0.0015420972490905566
PC4,0.000192962191174651
PC5,0.000152678701786484
PC6,3.8247950417485396e-05
