WAVELENGTH,PC1,PC2
346,0.3027642192687101,0.09096620467066871
347,0.26152263542137394,0.06974272331565046
348,0.18791993118689418,0.04673988618036165
349,-0.00551730322327764,0.07664686607142979
350,-0.15558277390341124,0.1035742452577435
351,-0.2700532805164219,0.12812340685596688
352,-0.315900219924474,0.10757086022835416
353,-0.3759846256650279,0.09838003926576737
354,-0.46620124346833536,0.11075654022747483
355,-0.5197945695302414,0.09227141781043031
356,-0.5743536454782704,0.07525850387957782
357,-0.6514871427493049,0.07549923841400968
358,-0.7041116620651475,0.09053270834468322
359,-0.7492782473826011,0.10613184254672631
360,-0.8006719284990973,0.10046416266877818
361,-0.8613257409454289,0.0864195308440272
362,-0.9256484414550922,0.06963736991353567
363,-0.9686597516920724,0.07844235233724893
364,-1.0246245879749352,0.09075295699120928
365,-1.0921724328044935,0.10672452082333163
366,-1.1307999128847268,0.10740535127792643
367,-1.1996948189771472,0.11111576120867055
368,-1.3074835487258902,0.125298896209691
369,-1.3847750535882513,0.12648738083098618
370,-1.4450794257154644,0.11909821018139126
371,-1.4842520478065182,0.1014687646125795
372,-1.5408993232106718,0.10677415091539301
373,-1.6002421801357187,0.11757440716076945
374,-1.6522961202046103,0.11712363220503336
375,-1.6924852402147066,0.1166513180407355
376,-1.7236687387574925,0.1167527049805623
377,-1.7499553448049077,0.12400114858539243
378,-1.7972474729336936,0.12313745584920117
379,-1.8569949773326846,0.1171834823634178
380,-1.8981091002074348,0.1187738200717686
381,-1.9430128030338967,0.12200893611123653
382,-1.9911983586452962,0.12715260950912705
383,-2.0386344178135363,0.13265833021767992
384,-2.0831026818200034,0.136621311100206
385,-2.12318299155164,0.13775566085615717
386,-2.162081284089792,0.13922738490489775
387,-2.186563726425267,0.14160064845441914
388,-2.1883655106646844,0.14160990444547392
389,-2.2061468701281144,0.14721456799618882
390,-2.224761650235875,0.15350704902648243
391,-2.2267634707517514,0.15311655569764776
392,-2.2213585027726914,0.15619938435864425
393,-2.212804844086695,0.16090601672374163
394,-2.2047917087330418,0.17095442746552056
395,-2.1750732572772598,0.16672721355063638
396,-2.1388477944882407,0.15511990740269613
397,-2.1623774770014523,0.1551039555583494
398,-2.1938212440215783,0.15461457379751534
399,-2.2325918371335236,0.1529301538380177
400,-2.2794266740025875,0.16071015140847833
401,-2.3213724349994305,0.1643571202519725
402,-2.3579511792549868,0.16161812307278461
403,-2.3810968020326455,0.16641800684731348
404,-2.402114675609056,0.1706721527364867
