Principal Component,Explained Variance Ratio
PC1,0.9940208247223682
PC2,0.004415156563324462
PC3,0.0011487482075324862
PC4,0.00031973446343814025
PC5,5.282220649112734e-05
PC6,1.8047698285652413e-05
PC7,1.5993365766603004e-05
PC8,4.301996072588353e-06
PC9,2.8076626651320624e-06
PC10,1.5631140557583113e-06
