Top_Wavelengths_PC1,Loading_PC1,Top_Wavelengths_PC2,Loading_PC2
Reflectance D31 GT2,0.4089352716798111,Reflectance D31 GT1,0.7773879222086296
Reflectance D31 GS2,0.4087999049617299,Reflectance D31 GS1,-0.4488763337145669
Reflectance D31 GB,0.40835591751580225,Reflectance D31 GS3,-0.3224291871801162
Reflectance D31 GS1,0.40831831722080036,Reflectance D31 GB,-0.23934173258043887
Reflectance D31 GS3,0.4082892866611177,Reflectance D31 GT2,0.1685307380724083
Reflectance D31 GT1,0.4067874581756381,Reflectance D31 GS2,0.06730824659468146
