Principal Component,Explained Variance Ratio
PC1,0.9950251988503124
PC2,0.0032109374448414055
PC3,0.001098342400548496
PC4,0.000349132238969781
PC5,0.0002965813641193105
PC6,1.9807701208690452e-05
