PC1,PC2
48.708742879068964,-22.78371602197313
83.88174592764271,-4.238101776498585
45.98239053055772,-19.86468233053985
168.6967356145204,29.936372343623095
46.9858325692746,-11.604943881139322
72.65909614636223,-16.259950668767196
-19.96632825811807,4.333189307462284
-21.352811434865824,1.8034075444885675
-21.345287800537026,1.8123442442220588
-21.346816269145428,1.810101589586264
-21.347875818422988,1.808748877751696
-21.34765525725548,1.808709997480987
-21.3514630111769,1.8043624367252937
-21.35344552573661,1.8023067657236795
-19.96632825811807,4.333189307462284
-21.34733338400344,1.8092054441591228
-21.336086567796507,1.8240417893454155
-21.33860042376888,1.81899851605153
-21.348913696422677,1.8068753933776043
-21.34080523378478,1.8176694186014115
-21.35098614127321,1.804268340868578
-21.35229382855741,1.8032739783610272
-21.352503309869657,1.803730791290434
-21.351170336239754,1.8049933338947186
-21.355270515915368,1.8003050663534523
-21.353421130978745,1.8026298636777658
-21.354878275247387,1.8003883737891524
-21.354269190192433,1.8022819546216338
