WAVELENGTH,PC1,PC2
346,-0.22009621414541802,-0.10408141029377306
347,-0.3343031759358787,-0.08015200898405166
348,-0.5011167890546495,-0.0508928321252044
349,-0.6787826446251546,-0.055821858662389236
350,-0.8222120390661768,-0.047614960523614316
351,-0.9390688913017512,-0.02735376685041918
352,-1.0276838815800258,-0.03859466337079439
353,-1.0867123906991225,-0.045484480602589826
354,-1.11267253494103,-0.04229419175432237
355,-1.1876846755614219,-0.04258854519576446
356,-1.2532704512694393,-0.04535951240806021
357,-1.2823730840724754,-0.0523676513428436
358,-1.308544874524991,-0.049019508588366796
359,-1.3433273276930795,-0.04510117286424538
360,-1.4146225832195887,-0.052168625160055236
361,-1.4757025190660855,-0.054880715303323876
362,-1.5302380404533034,-0.05345135334841324
363,-1.5782259118685997,-0.042446375450350085
364,-1.6239413317981608,-0.04164930956307103
365,-1.6670741851461726,-0.049981414656569384
366,-1.7114630572343177,-0.04013071770976071
367,-1.7673018568864558,-0.03196224329566665
368,-1.8340768703023904,-0.030726221963656288
369,-1.921567253935071,-0.038051697279778134
370,-1.991071929127421,-0.040878629018743076
371,-2.019486337012862,-0.030083584167116293
372,-2.0562647161625804,-0.03599603852643711
373,-2.092492815491191,-0.04443612052963153
374,-2.1171369225650016,-0.03788123261865201
375,-2.137315577469919,-0.038695485039780424
376,-2.156657334847021,-0.04242159166057639
377,-2.193585265116473,-0.03768539453457646
378,-2.224643248666821,-0.03908246494851153
379,-2.25154105485041,-0.0445754408809391
380,-2.282386675160859,-0.04418174263645403
381,-2.3175784599870908,-0.04249838018137711
382,-2.356503734977027,-0.039510939624470616
383,-2.3951915973708546,-0.03712548975591995
384,-2.4257796251391794,-0.03799065598371022
385,-2.44559751364246,-0.043369960924623426
386,-2.4670150711354517,-0.051073826430121774
387,-2.4819958500424426,-0.0566847891556922
388,-2.4895367030327713,-0.05515157481881313
389,-2.493000490685013,-0.05420620741172099
390,-2.4954679682196605,-0.055024812178065936
391,-2.4996509331869072,-0.06153054254739155
392,-2.5007596468198603,-0.06347901726858612
393,-2.500267641510333,-0.06382814064532712
394,-2.496989507267305,-0.06085028742025697
395,-2.481805804425456,-0.06436423286862404
396,-2.461216580542112,-0.07084023437632683
397,-2.4584275346485507,-0.06689640764763895
398,-2.471678601549464,-0.06536107236330004
399,-2.4998912704636926,-0.0658950359154348
400,-2.531263146294739,-0.07257643183019631
401,-2.561638692601262,-0.0762507200754269
402,-2.5906993631302333,-0.07556537907624926
403,-2.6082409417651595,-0.07713626713414037
404,-2.622794777056585,-0.0784357166546741
405,-2.6348775434678733,-0.07892231891508544
406,-2.641764905152941,-0.07590656615926702
407,-2.6444869949177137,-0.07470291985595641
408,-2.6450285323299765,-0.07673602561803118
409,-2.6442090599728396,-0.079368212946646
410,-2.6417000897063208,-0.0801136705589959
411,-2.635489157319525,-0.07667272533677391
412,-2.625847799327272,-0.07667207227924705
413,-2.6159783122289775,-0.07849618031118444
414,-2.6098370341443786,-0.07911506239013416
415,-2.6063406465963426,-0.07917993777579894
416,-2.6049054473381403,-0.07881819793188274
417,-2.6069415314709543,-0.07651295634020659
418,-2.6057977990502277,-0.07543886967994401
419,-2.603921908988477,-0.07555203077940921
420,-2.607124886008791,-0.07515090599999773
421,-2.61070158376102,-0.07419922246420427
422,-2.6153919868108724,-0.07340002868886045
423,-2.625580288157737,-0.07412218434615643
424,-2.6333394042884115,-0.07319582673887108
425,-2.63841413715117,-0.07082555878869004
426,-2.6491759885297896,-0.07092576765200757
427,-2.6592310709007494,-0.06971830067134079
428,-2.6684852680011915,-0.06725089620346901
429,-2.6742413487918095,-0.06578074323547252
430,-2.6786387415938995,-0.06586491408530272
431,-2.681884990600253,-0.06761523428169319
432,-2.6838620658620456,-0.06702021572687554
433,-2.684505083559585,-0.06766338446139893
434,-2.6839718919469098,-0.06968879326212818
435,-2.6829662371091674,-0.0689061600314708
436,-2.681117097565138,-0.0685732800160579
437,-2.6770957553304346,-0.07074293770956296
438,-2.671431837265231,-0.07212494073397992
439,-2.6660904739817983,-0.07354226467500669
440,-2.6610644342977343,-0.07506510856391825
441,-2.651156808818067,-0.07662197693530162
442,-2.6413412920977777,-0.07936196621334249
443,-2.6320327469560976,-0.08355084249369998
444,-2.6199207338000474,-0.08742102052076345
445,-2.606431111137529,-0.09108953799264473
446,-2.5903323122343203,-0.09371580471700773
447,-2.573401548490308,-0.0979707897382795
448,-2.5559576972221025,-0.10236745423767062
449,-2.5377699375077176,-0.10528720969856058
450,-2.5252629198398573,-0.11191806562507066
451,-2.5147964753877754,-0.1183177677524002
452,-2.5045732788148793,-0.12298741917553142
453,-2.495264068409494,-0.12567725559037676
454,-2.4861992100334485,-0.1290400777362643
455,-2.4762521518211966,-0.13316354721377863
456,-2.466135502942674,-0.1368410230892347
457,-2.4557533887846734,-0.140245649267225
458,-2.445890640550684,-0.1430212864992702
459,-2.4364141644258943,-0.14543910209559074
460,-2.4274594643730185,-0.14799825173135867
461,-2.4203551295549173,-0.1500223197684287
462,-2.4139847151643297,-0.15192379950029408
463,-2.4074592528825653,-0.15323572328776358
464,-2.4007894542861736,-0.15372215049290838
465,-2.3955963149992545,-0.1544296367700372
466,-2.3903880874500887,-0.15550019244468255
