Principal Component,Explained Variance Ratio
PC1,0.9940249262345068
PC2,0.004214634100131966
PC3,0.0013734699891249306
PC4,0.00016865251525728406
PC5,0.00014943652462749555
PC6,4.372713720409223e-05
PC7,1.6450264864217696e-05
PC8,8.70323428335259e-06
