Principal Component,Explained Variance Ratio
PC1,0.9922284843534346
PC2,0.005256827353311716
PC3,0.0013903983945703672
PC4,0.0006582117766498138
PC5,0.0002319159121161054
PC6,0.00014507457774396243
PC7,8.908763217337155e-05
