WAVELENGTH,PC1,PC2
346,-0.012034010423864115,0.013152509306229779
347,-0.1580195400697319,0.01973863371541162
348,-0.3673008095915677,0.026123774260957498
349,-0.4490740985783175,0.004677351666806033
350,-0.5362821994169695,0.010289192592732341
351,-0.6275828250464264,0.0404772170941355
352,-0.6980783514028562,0.03748692560944608
353,-0.7503380327170616,0.02517937614677954
354,-0.7825628424602392,0.0058133936400449615
355,-0.8650864171468948,0.0151177847688221
356,-0.920360485970745,0.033708749373386665
357,-0.9054215343638774,0.06091594567791813
358,-0.9169782753180117,0.0423101372284792
359,-0.954302218976971,0.017509860065678697
360,-1.0502791747125322,0.03812223234855155
361,-1.101842328154098,0.06317675534414945
362,-1.1289611004800715,0.08687689371817514
363,-1.168049915330508,0.06846146507914369
364,-1.219264462456544,0.05375511937063026
365,-1.282676745527236,0.04199087931152776
366,-1.3226120465035143,0.05731604255346148
367,-1.3767997198654551,0.06412355769638195
368,-1.4535027103507436,0.05664551917665537
369,-1.5384408608527025,0.05121043386702654
370,-1.6088096736914572,0.04526835788913036
371,-1.6475887004847247,0.03749302209509016
372,-1.670762255949479,0.05747822225190974
373,-1.6894147802252883,0.07944047440504963
374,-1.7186264096056338,0.07033287116790322
375,-1.7409229889928535,0.06431364303383506
376,-1.761004329896689,0.05889789802862848
377,-1.797495438541707,0.045013897278128656
378,-1.8334455312880358,0.04228030224552133
379,-1.867646749787324,0.04663250229811591
380,-1.8931056615812032,0.038813363513307046
381,-1.9213507082892207,0.036013388277530436
382,-1.952866237328179,0.03718694585391321
383,-1.9877423871571147,0.04303624508611279
384,-2.023168842617627,0.04407563822268853
385,-2.059126424424082,0.03805624655764318
386,-2.0767706000922104,0.037768715959357414
387,-2.0873391620964985,0.03661444290272272
388,-2.092863449708969,0.03159454373948515
389,-2.0934748989570235,0.026735936917671514
390,-2.092540869345807,0.023066891104814115
391,-2.092372093989458,0.028810538743478033
392,-2.080491300903547,0.0219213664097188
393,-2.0628932393475012,0.010750602283543428
394,-2.040083811327337,0.006775622648433605
395,-2.018005807811691,0.00327065076273312
396,-1.999887725249122,0.0010107027936720313
397,-2.0061123297601893,0.007370188195736427
398,-2.026096063979385,0.010203189874413196
399,-2.0580810719400784,0.010249816612630648
400,-2.0786187711553534,0.0049691064589875164
401,-2.0982972429573765,0.00178321452158529
402,-2.1179087837663615,0.0009182023568297041
403,-2.134453069876717,-0.006122731322576826
404,-2.148536669410274,-0.013759265950546211
405,-2.158708314741412,-0.020897190172563928
406,-2.156215583168656,-0.018119238897150988
407,-2.151731266139583,-0.01717180953028545
408,-2.144512537951197,-0.023083528329090122
409,-2.1351125885069124,-0.027048916595241407
410,-2.1269561540643513,-0.03031767763094431
411,-2.1225332125976424,-0.033922311887925986
412,-2.1109266854774558,-0.034216953029665396
413,-2.096901810546674,-0.03411445690927768
414,-2.0801040346070776,-0.037850299885890115
415,-2.0717165206147268,-0.03701903487701896
416,-2.067367171133974,-0.03490112784320983
417,-2.0673438368287007,-0.038232285500419946
418,-2.0635909473523264,-0.037015444622361025
419,-2.057803825245011,-0.03372449462294014
420,-2.0514494398252525,-0.03489123245152252
421,-2.052494733550238,-0.036287498996249494
422,-2.0571364946090056,-0.03887968291553287
423,-2.0519141639137715,-0.04283526155090749
424,-2.051548720883035,-0.04525562603487034
425,-2.0560105440936036,-0.04545189473312971
