Principal Component,Explained Variance Ratio
PC1,0.9942076484974273
PC2,0.004605302783262036
PC3,0.0008714983687679721
PC4,0.0002269689146847137
PC5,5.303811042125975e-05
PC6,2.682789143241828e-05
PC7,8.715434004346417e-06
