name= \My Documents\HR1024_Data\DS115.,,,,,name= \My Documents\HR1024_Data\DS116.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 31.05  8.88  -5.37  39.11  8.94  -5.30,,,,,temp= 31.05  8.88  -5.37  39.35  8.94  -5.37,,,,,
battery= 7.7  7.2,,,,,battery= 7.7  7.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/12/08 9:49:29 AM  1/12/08 10:08:56 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:09:27 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,
,,,,,,,,,,AVERAGE OF INPUT FILES: DS115:DS116
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
2444.4,9752.18,321.63,3.30,,2444.4,9752.18,137.84,1.41,,2444.4,9752.18,229.74,2.36,,
2446.7,9688.56,286.16,2.95,,2446.7,9688.56,122.64,1.27,,2446.7,9688.56,204.40,2.11,,
2448.9,9658.24,331.61,3.43,,2448.9,9658.24,142.12,1.47,,2448.9,9658.24,236.87,2.45,,
2451.2,9631.36,315.88,3.28,,2451.2,9631.36,113.24,1.18,,2451.2,9631.36,214.56,2.23,,
2453.4,9564.32,271.20,2.84,,2453.4,9564.32,78.35,0.82,,2453.4,9564.32,174.78,1.83,,
2455.7,9566.46,346.66,3.62,,2455.7,9566.46,103.39,1.08,,2455.7,9566.46,225.03,2.35,,
2457.9,9468.86,268.62,2.84,,2457.9,9468.86,128.21,1.35,,2457.9,9468.86,198.42,2.10,,
2460.2,9395.46,252.77,2.69,,2460.2,9395.46,117.14,1.25,,2460.2,9395.46,184.96,1.97,,
2462.4,9422.40,287.04,3.05,,2462.4,9422.40,137.28,1.46,,2462.4,9422.40,212.16,2.25,,
2464.7,9348.95,271.26,2.90,,2464.7,9348.95,107.24,1.15,,2464.7,9348.95,189.25,2.02,,
2466.9,9251.22,243.96,2.64,,2466.9,9251.22,64.20,0.69,,2466.9,9251.22,154.08,1.67,,
2469.2,9249.34,265.75,2.87,,2469.2,9249.34,110.19,1.19,,2469.2,9249.34,187.97,2.03,,
2471.4,9151.61,249.47,2.73,,2471.4,9151.61,111.61,1.22,,2471.4,9151.61,180.54,1.97,,
2473.6,9078.42,274.50,3.02,,2473.6,9078.42,53.56,0.59,,2473.6,9078.42,164.03,1.81,,
2475.9,9042.40,358.99,3.97,,2475.9,9042.40,81.28,0.90,,2475.9,9042.40,220.14,2.43,,
2478.1,8956.32,266.44,2.97,,2478.1,8956.32,109.31,1.22,,2478.1,8956.32,187.88,2.10,,
2480.3,8952.70,236.70,2.64,,2480.3,8952.70,83.54,0.93,,2480.3,8952.70,160.12,1.79,,
2482.5,8971.16,285.93,3.19,,2482.5,8971.16,57.19,0.64,,2482.5,8971.16,171.56,1.91,,
2484.8,8832.66,233.01,2.64,,2484.8,8832.66,87.38,0.99,,2484.8,8832.66,160.20,1.81,,
2487.0,8762.09,222.20,2.54,,2487.0,8762.09,51.85,0.59,,2487.0,8762.09,137.03,1.56,,
2489.2,8850.00,256.30,2.90,,2489.2,8850.00,37.69,0.43,,2489.2,8850.00,147.00,1.66,,
2491.4,8753.22,276.66,3.16,,2491.4,8753.22,115.28,1.32,,2491.4,8753.22,195.97,2.24,,
2493.6,8669.20,227.31,2.62,,2493.6,8669.20,62.71,0.72,,2493.6,8669.20,145.01,1.67,,
2495.8,8662.66,229.63,2.65,,2495.8,8662.66,102.94,1.19,,2495.8,8662.66,166.29,1.92,,
2498.0,8674.13,267.52,3.08,,2498.0,8674.13,137.81,1.59,,2498.0,8674.13,202.67,2.34,,
2500.2,8694.60,193.78,2.23,,2500.2,8694.60,109.53,1.26,,2500.2,8694.60,151.66,1.74,,
2502.4,8942.16,239.76,2.68,,2502.4,8942.16,115.44,1.29,,2502.4,8942.16,177.60,1.99,,
2504.6,9089.52,272.31,3.00,,2504.6,9089.52,131.46,1.45,,2504.6,9089.52,201.89,2.22,,
2506.8,9176.65,214.32,2.34,,2506.8,9176.65,175.35,1.91,,2506.8,9176.65,194.84,2.12,,
