Wavelength,Reflectance
356.0,20.49
366.0,16.14
376.0,12.23
386.0,9.41
396.0,9.06
406.0,7.08
416.0,6.92
426.0,6.32
436.0,5.72
446.0,5.73
456.0,5.42
466.0,5.45
476.0,5.39
486.0,5.11
496.0,5.19
506.0,5.29
516.0,5.17
526.0,5.12
536.0,5.24
546.0,5.42
556.0,5.54
566.0,5.99
576.0,7.06
586.0,8.9
596.0,11.33
606.0,14.41
616.0,18.0
626.0,21.51
636.0,24.89
646.0,25.25
656.0,24.37
666.0,20.27
676.0,18.52
686.0,26.35
696.0,48.8
706.0,65.62
716.0,73.98
726.0,77.87
736.0,78.73
746.0,80.35
756.0,81.02
766.0,82.7
776.0,83.79
786.0,84.52
796.0,84.04
806.0,84.09
816.0,84.37
826.0,83.94
836.0,83.44
846.0,84.37
856.0,84.57
866.0,84.6
876.0,84.0
886.0,82.69
896.0,80.94
906.0,79.66
916.0,77.93
926.0,75.19
936.0,71.42
946.0,67.43
956.0,62.48
966.0,60.38
976.0,59.9
986.0,58.34
996.0,59.16
1006.0,60.77
1016.0,63.02
1026.0,65.2
1036.0,67.26
1046.0,69.35
1056.0,71.06
1066.0,72.05
1076.0,72.28
1086.0,71.75
1096.0,70.55
1106.0,69.12
1116.0,67.35
1126.0,64.27
1136.0,58.47
1146.0,51.77
1156.0,47.79
1166.0,46.41
1176.0,45.84
1186.0,45.34
1196.0,44.98
1206.0,45.08
1216.0,45.6
1226.0,46.35
1236.0,47.03
1246.0,47.61
1256.0,48.03
1266.0,48.22
1276.0,48.02
1286.0,47.41
1296.0,46.28
1306.0,44.49
1316.0,42.16
1326.0,39.34
1336.0,36.46
1346.0,33.83
1356.0,31.53
1366.0,29.39
1376.0,26.33
1386.0,21.61
1396.0,16.93
1406.0,13.75
1416.0,12.03
1426.0,11.24
1436.0,10.89
1446.0,10.78
1456.0,10.77
1466.0,10.95
1476.0,11.41
1486.0,12.16
1496.0,13.12
1506.0,13.71
1516.0,14.21
1526.0,14.96
1536.0,15.88
1546.0,16.78
1556.0,17.53
1566.0,18.27
1576.0,19.15
1586.0,19.79
1596.0,20.34
1606.0,20.89
1616.0,21.44
1626.0,21.99
1636.0,22.44
1646.0,22.68
1656.0,22.8
1666.0,22.9
1676.0,22.89
1686.0,22.66
1696.0,22.38
1706.0,21.92
1716.0,21.31
1726.0,20.69
1736.0,20.31
1746.0,19.87
1756.0,19.26
1766.0,18.77
1776.0,18.51
1786.0,18.28
1796.0,18.22
1806.0,18.24
1816.0,18.23
1826.0,18.23
1836.0,18.06
1846.0,17.92
1856.0,17.46
1866.0,15.36
1876.0,12.27
1886.0,10.03
1896.0,9.04
1906.0,6.31
1916.0,6.03
1926.0,6.11
1936.0,6.08
1946.0,6.14
1956.0,6.26
1966.0,6.45
1976.0,6.63
1986.0,6.91
1996.0,7.18
2006.0,7.45
2016.0,7.65
2026.0,7.87
2036.0,8.13
2046.0,8.37
2056.0,8.6
2066.0,8.73
2076.0,9.02
2086.0,9.27
2096.0,9.56
2106.0,9.82
2116.0,9.98
2126.0,10.26
2136.0,10.46
2146.0,10.71
2156.0,10.91
2166.0,11.0
2176.0,11.29
2186.0,11.4
2196.0,11.44
2206.0,11.65
2216.0,11.6
2226.0,11.46
2236.0,11.16
2246.0,11.0
2256.0,10.82
2266.0,10.37
2276.0,9.92
2286.0,9.7
2296.0,9.39
2306.0,8.79
2316.0,8.91
2326.0,9.03
2336.0,8.67
2346.0,8.52
2356.0,8.27
2366.0,8.05
2376.0,8.12
2386.0,7.83
2396.0,7.89
2406.0,7.66
2416.0,7.27
2426.0,7.02
2436.0,7.2
2446.0,6.65
2456.0,6.8
2466.0,6.8
2476.0,6.58
2486.0,6.29
2496.0,6.39
2506.0,6.18
