Wavelength,Reflectance
356.0,24.58
366.0,22.04
376.0,18.75
386.0,15.95
396.0,15.81
406.0,13.61
416.0,13.23
426.0,12.65
436.0,12.08
446.0,11.8
456.0,11.31
466.0,11.26
476.0,11.2
486.0,10.82
496.0,10.77
506.0,10.77
516.0,10.84
526.0,10.94
536.0,11.27
546.0,11.33
556.0,11.45
566.0,11.86
576.0,12.75
586.0,14.17
596.0,15.9
606.0,18.5
616.0,22.09
626.0,26.13
636.0,29.63
646.0,33.51
656.0,37.21
666.0,36.42
676.0,38.2
686.0,46.72
696.0,55.64
706.0,59.86
716.0,62.45
726.0,64.44
736.0,66.6
746.0,69.35
756.0,70.7
766.0,73.58
776.0,75.71
786.0,78.25
796.0,79.16
806.0,81.14
816.0,83.17
826.0,84.37
836.0,85.58
846.0,87.43
856.0,88.49
866.0,89.66
876.0,90.48
886.0,90.47
896.0,90.09
906.0,89.83
916.0,89.15
926.0,87.29
936.0,83.69
946.0,79.84
956.0,74.75
966.0,72.48
976.0,72.44
986.0,64.32
996.0,67.14
1006.0,69.1
1016.0,71.29
1026.0,73.58
1036.0,75.67
1046.0,77.64
1056.0,79.21
1066.0,80.09
1076.0,80.24
1086.0,79.65
1096.0,78.41
1106.0,76.81
1116.0,74.99
1126.0,71.85
1136.0,65.96
1146.0,58.95
1156.0,54.55
1166.0,52.97
1176.0,52.31
1186.0,51.75
1196.0,51.28
1206.0,51.29
1216.0,51.77
1226.0,52.56
1236.0,53.3
1246.0,53.89
1256.0,54.28
1266.0,54.37
1276.0,54.15
1286.0,53.46
1296.0,52.17
1306.0,50.22
1316.0,47.76
1326.0,44.78
1336.0,41.71
1346.0,38.85
1356.0,36.37
1366.0,34.14
1376.0,30.95
1386.0,25.97
1396.0,21.18
1406.0,17.94
1416.0,16.22
1426.0,15.41
1436.0,15.04
1446.0,14.88
1456.0,14.89
1466.0,15.04
1476.0,15.43
1486.0,16.07
1496.0,16.9
1506.0,17.61
1516.0,18.31
1526.0,19.05
1536.0,19.83
1546.0,20.6
1556.0,21.35
1566.0,21.96
1576.0,22.82
1586.0,23.52
1596.0,24.08
1606.0,24.62
1616.0,25.18
1626.0,25.79
1636.0,26.24
1646.0,26.5
1656.0,26.68
1666.0,26.84
1676.0,26.84
1686.0,26.65
1696.0,26.32
1706.0,25.82
1716.0,25.19
1726.0,24.56
1736.0,24.18
1746.0,23.71
1756.0,23.08
1766.0,22.59
1776.0,22.29
1786.0,22.02
1796.0,21.92
1806.0,21.93
1816.0,21.9
1826.0,21.91
1836.0,21.74
1846.0,21.55
1856.0,20.9
1866.0,18.87
1876.0,16.22
1886.0,14.24
1896.0,13.52
1906.0,10.33
1916.0,10.59
1926.0,10.54
1936.0,10.54
1946.0,10.61
1956.0,10.73
1966.0,10.84
1976.0,11.05
1986.0,11.07
1996.0,11.25
2006.0,11.51
2016.0,11.63
2026.0,11.81
2036.0,12.06
2046.0,12.23
2056.0,12.39
2066.0,12.49
2076.0,12.68
2086.0,12.93
2096.0,13.01
2106.0,13.23
2116.0,13.56
2126.0,13.65
2136.0,13.89
2146.0,13.95
2156.0,14.2
2166.0,14.26
2176.0,14.46
2186.0,14.45
2196.0,14.46
2206.0,14.59
2216.0,14.75
2226.0,14.32
2236.0,14.4
2246.0,14.06
2256.0,13.76
2266.0,13.52
2276.0,13.33
2286.0,12.9
2296.0,12.83
2306.0,12.38
2316.0,12.58
2326.0,12.68
2336.0,12.34
2346.0,12.39
2356.0,12.15
2366.0,12.15
2376.0,11.98
2386.0,11.88
2396.0,11.81
2406.0,11.62
2416.0,11.53
2426.0,11.44
2436.0,11.55
2446.0,11.38
2456.0,11.26
2466.0,11.19
2476.0,11.09
2486.0,11.52
2496.0,11.51
2506.0,11.0
