Wavelength,Reflectance
356.0,8.37
366.0,6.78
376.0,4.88
386.0,3.53
396.0,3.43
406.0,2.37
416.0,2.25
426.0,1.95
436.0,1.72
446.0,1.72
456.0,1.59
466.0,1.56
476.0,1.6
486.0,1.56
496.0,1.58
506.0,1.7
516.0,1.82
526.0,1.96
536.0,2.18
546.0,2.45
556.0,2.74
566.0,3.11
576.0,3.61
586.0,4.23
596.0,4.86
606.0,5.58
616.0,6.47
626.0,7.47
636.0,8.61
646.0,9.67
656.0,10.4
666.0,10.61
676.0,11.89
686.0,14.52
696.0,16.8
706.0,18.74
716.0,20.6
726.0,22.42
736.0,24.12
746.0,26.05
756.0,27.81
766.0,29.75
776.0,31.63
786.0,33.51
796.0,35.08
806.0,36.73
816.0,38.19
826.0,39.08
836.0,39.52
846.0,40.43
856.0,41.16
866.0,41.91
876.0,42.21
886.0,42.03
896.0,41.65
906.0,41.04
916.0,40.01
926.0,37.5
936.0,33.65
946.0,29.4
956.0,24.95
966.0,23.14
976.0,22.58
986.0,21.2
996.0,22.26
1006.0,23.47
1016.0,25.04
1026.0,26.85
1036.0,28.84
1046.0,30.73
1056.0,32.17
1066.0,32.98
1076.0,32.96
1086.0,32.13
1096.0,30.62
1106.0,28.99
1116.0,27.16
1126.0,24.37
1136.0,20.04
1146.0,16.17
1156.0,14.27
1166.0,13.62
1176.0,13.28
1186.0,13.05
1196.0,12.86
1206.0,12.81
1216.0,12.9
1226.0,13.07
1236.0,13.18
1246.0,13.32
1256.0,13.39
1266.0,13.37
1276.0,13.23
1286.0,12.91
1296.0,12.44
1306.0,11.84
1316.0,11.11
1326.0,10.33
1336.0,9.63
1346.0,9.04
1356.0,8.49
1366.0,7.99
1376.0,7.36
1386.0,6.3
1396.0,5.17
1406.0,4.31
1416.0,3.78
1426.0,3.54
1436.0,3.37
1446.0,3.29
1456.0,3.28
1466.0,3.33
1476.0,3.44
1486.0,3.66
1496.0,3.93
1506.0,4.08
1516.0,4.19
1526.0,4.38
1536.0,4.56
1546.0,4.73
1556.0,4.89
1566.0,5.04
1576.0,5.21
1586.0,5.35
1596.0,5.42
1606.0,5.53
1616.0,5.6
1626.0,5.72
1636.0,5.75
1646.0,5.8
1656.0,5.77
1666.0,5.77
1676.0,5.72
1686.0,5.65
1696.0,5.57
1706.0,5.46
1716.0,5.28
1726.0,5.11
1736.0,5.07
1746.0,5.0
1756.0,4.87
1766.0,4.78
1776.0,4.73
1786.0,4.69
1796.0,4.64
1806.0,4.63
1816.0,4.61
1826.0,4.61
1836.0,4.62
1846.0,4.57
1856.0,4.55
1866.0,4.04
1876.0,3.35
1886.0,2.73
1896.0,2.12
1906.0,1.61
1916.0,1.45
1926.0,1.37
1936.0,1.46
1946.0,1.39
1956.0,1.59
1966.0,1.7
1976.0,1.7
1986.0,1.85
1996.0,1.83
2006.0,2.05
2016.0,1.97
2026.0,2.1
2036.0,2.25
2046.0,2.29
2056.0,2.31
2066.0,2.43
2076.0,2.45
2086.0,2.53
2096.0,2.58
2106.0,2.75
2116.0,2.89
2126.0,2.7
2136.0,2.71
2146.0,3.0
2156.0,3.04
2166.0,2.96
2176.0,3.15
2186.0,3.2
2196.0,3.07
2206.0,2.96
2216.0,2.98
2226.0,2.81
2236.0,2.94
2246.0,2.95
2256.0,2.48
2266.0,2.5
2276.0,2.38
2286.0,2.29
2296.0,2.17
2306.0,2.07
2316.0,2.03
2326.0,2.27
2336.0,2.23
2346.0,2.06
2356.0,1.95
2366.0,2.04
2376.0,1.97
2386.0,1.68
2396.0,1.68
2406.0,1.37
2416.0,2.27
2426.0,1.61
2436.0,1.7
2446.0,1.55
2456.0,1.45
2466.0,0.98
2476.0,1.22
2486.0,1.18
2496.0,1.33
2506.0,0.88
