Wavelength,Reflectance
356.0,36.25
366.0,30.23
376.0,23.91
386.0,19.12
396.0,18.83
406.0,15.72
416.0,16.15
426.0,16.27
436.0,15.67
446.0,16.82
456.0,17.98
466.0,18.3
476.0,18.54
486.0,19.22
496.0,21.83
506.0,28.39
516.0,39.57
526.0,51.44
536.0,58.43
546.0,61.1
556.0,61.84
566.0,59.31
576.0,54.25
586.0,50.24
596.0,47.84
606.0,45.84
616.0,41.96
626.0,38.44
636.0,36.76
646.0,33.1
656.0,28.54
666.0,22.34
676.0,20.15
686.0,27.23
696.0,53.18
706.0,80.23
716.0,97.07
726.0,106.49
736.0,110.45
746.0,112.84
756.0,113.71
766.0,115.21
776.0,116.27
786.0,117.65
796.0,118.05
806.0,118.95
816.0,119.42
826.0,118.16
836.0,116.26
846.0,115.68
856.0,114.4
866.0,113.63
876.0,112.65
886.0,111.17
896.0,109.9
906.0,108.75
916.0,107.22
926.0,104.17
936.0,99.68
946.0,94.67
956.0,88.6
966.0,85.81
976.0,85.25
986.0,81.51
996.0,83.38
1006.0,85.25
1016.0,87.66
1026.0,90.03
1036.0,92.35
1046.0,94.47
1056.0,96.09
1066.0,96.9
1076.0,96.99
1086.0,96.2
1096.0,94.73
1106.0,93.06
1116.0,91.01
1126.0,87.48
1136.0,80.88
1146.0,73.21
1156.0,68.68
1166.0,67.11
1176.0,66.45
1186.0,65.88
1196.0,65.49
1206.0,65.56
1216.0,66.1
1226.0,66.89
1236.0,67.66
1246.0,68.27
1256.0,68.66
1266.0,68.76
1276.0,68.4
1286.0,67.48
1296.0,66.02
1306.0,63.82
1316.0,61.07
1326.0,57.78
1336.0,54.38
1346.0,51.25
1356.0,48.45
1366.0,45.74
1376.0,41.86
1386.0,35.76
1396.0,29.48
1406.0,24.88
1416.0,22.29
1426.0,21.06
1436.0,20.49
1446.0,20.31
1456.0,20.35
1466.0,20.7
1476.0,21.49
1486.0,22.71
1496.0,24.22
1506.0,25.24
1516.0,25.67
1526.0,27.26
1536.0,28.76
1546.0,30.08
1556.0,31.17
1566.0,32.25
1576.0,33.47
1586.0,34.37
1596.0,35.13
1606.0,35.9
1616.0,36.62
1626.0,37.33
1636.0,37.9
1646.0,38.25
1656.0,38.4
1666.0,38.51
1676.0,38.47
1686.0,38.17
1696.0,37.68
1706.0,36.97
1716.0,36.13
1726.0,35.3
1736.0,34.83
1746.0,34.25
1756.0,33.34
1766.0,32.65
1776.0,32.23
1786.0,31.89
1796.0,31.74
1806.0,31.74
1816.0,31.71
1826.0,31.63
1836.0,31.39
1846.0,31.23
1856.0,30.65
1866.0,27.31
1876.0,22.48
1886.0,18.58
1896.0,16.25
1906.0,11.2
1916.0,10.62
1926.0,10.41
1936.0,10.48
1946.0,10.72
1956.0,11.11
1966.0,11.65
1976.0,12.1
1986.0,12.69
1996.0,13.33
2006.0,13.95
2016.0,14.62
2026.0,15.17
2036.0,15.72
2046.0,16.3
2056.0,16.75
2066.0,17.29
2076.0,17.77
2086.0,18.29
2096.0,18.84
2106.0,19.41
2116.0,19.88
2126.0,20.37
2136.0,20.68
2146.0,21.08
2156.0,21.49
2166.0,21.63
2176.0,21.78
2186.0,21.87
2196.0,21.89
2206.0,21.95
2216.0,22.03
2226.0,21.6
2236.0,21.28
2246.0,20.82
2256.0,20.23
2266.0,19.61
2276.0,18.88
2286.0,18.29
2296.0,17.55
2306.0,16.6
2316.0,16.59
2326.0,16.67
2336.0,15.99
2346.0,15.56
2356.0,15.14
2366.0,14.93
2376.0,14.42
2386.0,13.92
2396.0,13.59
2406.0,13.04
2416.0,12.94
2426.0,12.39
2436.0,12.22
2446.0,11.66
2456.0,11.64
2466.0,11.19
2476.0,10.83
2486.0,10.46
2496.0,10.52
2506.0,9.9
