Wavelength,Reflectance
356.0,18.49
366.0,14.99
376.0,11.15
386.0,8.82
396.0,8.3
406.0,6.45
416.0,6.29
426.0,5.66
436.0,5.27
446.0,5.21
456.0,4.91
466.0,4.94
476.0,4.86
486.0,4.7
496.0,4.8
506.0,4.87
516.0,4.73
526.0,4.67
536.0,4.76
546.0,4.83
556.0,4.75
566.0,4.76
576.0,5.01
586.0,5.58
596.0,6.33
606.0,7.75
616.0,10.18
626.0,12.89
636.0,16.91
646.0,19.44
656.0,20.25
666.0,17.99
676.0,17.21
686.0,24.67
696.0,44.34
706.0,59.1
716.0,67.04
726.0,71.31
736.0,72.89
746.0,75.06
756.0,76.19
766.0,78.21
776.0,79.51
786.0,80.41
796.0,80.06
806.0,80.21
816.0,80.62
826.0,80.32
836.0,80.07
846.0,81.11
856.0,81.33
866.0,81.41
876.0,80.99
886.0,79.79
896.0,78.21
906.0,77.04
916.0,75.54
926.0,73.07
936.0,69.76
946.0,66.3
956.0,61.83
966.0,60.04
976.0,59.04
986.0,57.38
996.0,57.99
1006.0,59.41
1016.0,61.41
1026.0,63.31
1036.0,65.14
1046.0,67.05
1056.0,68.65
1066.0,69.58
1076.0,69.83
1086.0,69.44
1096.0,68.41
1106.0,67.24
1116.0,65.67
1126.0,62.97
1136.0,57.83
1146.0,51.78
1156.0,48.17
1166.0,46.87
1176.0,46.28
1186.0,45.77
1196.0,45.43
1206.0,45.5
1216.0,46.04
1226.0,46.81
1236.0,47.51
1246.0,48.08
1256.0,48.51
1266.0,48.74
1276.0,48.6
1286.0,48.08
1296.0,47.1
1306.0,45.47
1316.0,43.33
1326.0,40.66
1336.0,37.87
1346.0,35.34
1356.0,33.11
1366.0,30.96
1376.0,27.89
1386.0,23.01
1396.0,18.07
1406.0,14.7
1416.0,12.85
1426.0,12.01
1436.0,11.61
1446.0,11.5
1456.0,11.5
1466.0,11.71
1476.0,12.17
1486.0,12.95
1496.0,13.94
1506.0,14.48
1516.0,15.11
1526.0,16.09
1536.0,16.98
1546.0,17.87
1556.0,18.67
1566.0,19.45
1576.0,20.35
1586.0,21.03
1596.0,21.63
1606.0,22.24
1616.0,22.83
1626.0,23.38
1636.0,23.85
1646.0,24.09
1656.0,24.17
1666.0,24.21
1676.0,24.18
1686.0,23.94
1696.0,23.63
1706.0,23.17
1716.0,22.56
1726.0,21.97
1736.0,21.62
1746.0,21.2
1756.0,20.62
1766.0,20.15
1776.0,19.95
1786.0,19.76
1796.0,19.75
1806.0,19.81
1816.0,19.85
1826.0,19.87
1836.0,19.79
1846.0,19.79
1856.0,19.51
1866.0,17.19
1876.0,13.74
1886.0,11.53
1896.0,10.53
1906.0,7.56
1916.0,7.28
1926.0,7.11
1936.0,7.12
1946.0,7.18
1956.0,7.28
1966.0,7.42
1976.0,7.68
1986.0,7.9
1996.0,8.2
2006.0,8.45
2016.0,8.74
2026.0,8.95
2036.0,9.2
2046.0,9.41
2056.0,9.59
2066.0,9.86
2076.0,10.16
2086.0,10.35
2096.0,10.62
2106.0,10.85
2116.0,11.14
2126.0,11.46
2136.0,11.68
2146.0,11.9
2156.0,12.16
2166.0,12.2
2176.0,12.38
2186.0,12.57
2196.0,12.54
2206.0,12.76
2216.0,12.83
2226.0,12.57
2236.0,12.33
2246.0,12.16
2256.0,11.8
2266.0,11.36
2276.0,11.08
2286.0,10.78
2296.0,10.43
2306.0,10.01
2316.0,10.08
2326.0,10.19
2336.0,9.86
2346.0,9.6
2356.0,9.5
2366.0,9.33
2376.0,9.25
2386.0,9.0
2396.0,9.03
2406.0,8.64
2416.0,8.7
2426.0,8.57
2436.0,8.62
2446.0,8.39
2456.0,8.49
2466.0,8.15
2476.0,8.21
2486.0,7.88
2496.0,7.96
2506.0,7.8
