WAVELENGTH,PC1,PC2
Reflectance D9 RB1,4.857603478179449,10.450061923503139
Reflectance D9 RB1,-74.06421946706041,1.0024316947531238
Reflectance D9 RS2,-37.00538220011916,15.05625429617303
Reflectance D9 RS3,19.111076317435746,-11.20860670488869
Reflectance D9 RS4,29.699156678469503,-10.841516896914563
Reflectance D9 RS5,43.35281711825114,-20.036799105712962
Reflectance D9 RT1,-33.71452336466827,-4.894656721898445
Reflectance D9 RB2 ,74.95470282316039,23.272087546542696
Reflectance D9 RS6 ,-27.19123138364826,-2.7992560315573773
